Fold,XGBoost ROC,XGBoost PR,Random Forest ROC,Random Forest PR,Logistic Regression ROC,Logistic Regression PR,Gradient Boosting ROC,Gradient Boosting PR,Bagging ROC,Bagging PR
1,0.735933983495874,0.6544113471456185,0.7040510127531883,0.6949037624593821,0.5086271567891972,0.46417014029137005,0.7501875468867216,0.7199767538653147,0.687171792948237,0.6712675351601687
2,0.6916729182295575,0.6610473926416423,0.6759189797449362,0.6416869154821712,0.4568642160540135,0.41158775676371817,0.7321830457614403,0.7029509028902969,0.6702925731432858,0.576133294910633
3,0.6646661665416354,0.6904955557126009,0.649662415603901,0.6496975834114688,0.49587396849212306,0.3925123880609361,0.6744186046511628,0.6044699310867949,0.7051762940735183,0.7051926129332396
4,0.7179294823705926,0.5940369558285026,0.6894223555888972,0.5778665969052956,0.6166541635408852,0.5228524024442097,0.6965491372843211,0.6251261193890124,0.7291822955738935,0.6070458877261121
5,0.7321830457614403,0.6527283720483075,0.7141785446361589,0.6563883918253177,0.6069017254313578,0.5456652030894835,0.732933233308327,0.6535844087750191,0.7366841710427607,0.6749825710794408
6,0.6384096024006001,0.5842157801592636,0.640285071267817,0.5410752630669288,0.5648912228057015,0.462422575079276,0.6586646661665416,0.5013077002317639,0.5900225056264066,0.553791079471902
7,0.6976744186046512,0.6335080247337656,0.72655663915979,0.5791012634629175,0.6504126031507876,0.5078580961485353,0.7261815453863466,0.6335122524947363,0.6500375093773443,0.5371368225685178
8,0.6798449612403101,0.5396031894708911,0.7457364341085272,0.5681379961101,0.537984496124031,0.41826445532806766,0.7337209302325581,0.6330016489705691,0.6290697674418605,0.4734116236280099
9,0.7782945736434109,0.7159083816861561,0.7775193798449613,0.6487247061905576,0.5534883720930234,0.47963106034409553,0.7224806201550389,0.6069964354597555,0.758139534883721,0.6945731048741849
10,0.6992248062015505,0.5600758361779052,0.6387596899224806,0.4890646453766533,0.5116279069767442,0.40451712328079814,0.6519379844961241,0.5085466453213946,0.6065891472868217,0.5040798829102099
Average,0.7035833958489622,0.6286030835604653,0.6962090522630657,0.6046647124290793,0.5503325831457865,0.46094812008304903,0.7079257314328582,0.6189472798484658,0.676236559139785,0.5997614415262419
